epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6569985151290894,1.5947215557098389,0.001,0.89199298620224,0.33020076155662537
1,0.9613273739814758,0.13278226554393768,0.001,0.9750561118125916,0.0919833555817604
2,0.6825723648071289,1.4160232543945312,0.001,0.11499127000570297,789.0894165039062
3,0.7904191613197327,1.0820703506469727,0.001,0.8600648641586304,0.9953294396400452
4,0.8960204720497131,0.4411914050579071,0.001,0.9546021223068237,0.14579549431800842
5,0.9685004949569702,0.1141071692109108,0.001,0.9802943468093872,0.08408215641975403
6,0.9822854399681091,0.060564469546079636,0.001,0.9700673222541809,0.0868150070309639
7,0.988772451877594,0.038952648639678955,0.001,0.9937640428543091,0.02404588833451271
8,0.9900199770927429,0.036774832755327225,0.001,0.9945123195648193,0.025219127535820007
9,0.9897704720497131,0.037239812314510345,0.001,0.9870291948318481,0.04704421013593674
10,0.9893338084220886,0.03913068398833275,0.001,0.9872786402702332,0.04462635517120361
11,0.9875249266624451,0.04758414626121521,0.001,0.9748066663742065,0.09969205409288406
12,0.9921407103538513,0.039733704179525375,0.001,0.9820404052734375,0.06951559334993362
13,0.9881486892700195,0.04537056386470795,0.001,0.9802943468093872,0.07294471561908722
